fft2D_2D_fb_batch_1024_1024_512|32_16_A3D_10x00x01_B3D_00x10x01_C3D_10x00x01_In_00x10_KER2D_10x01
fft2D_2D_fb_batch_1024_1024_512|16_16_A3D_00x10x01_B3D_10x00x01_C3D_00x10x01_In_00x01_KER2D_10x01
fft2D_2D_f_batch_1024_1024_512|4_8_A3D_00x10x01_B3D_10x00x01_KER2D_10x01
fft2D_2D_f_batch_1024_1024_512|4_64_A3D_00x10x01_B3D_10x00x01_KER2D_10x01
fft2D_2D_fb_batch_1024_1024_512|2_16_A3D_10x00x01_B3D_00x10x01_C3D_10x00x01_In_01x00_KER2D_10x01
fft2D_2D_f_batch_1024_1024_512|256_2_A3D_10x00x01_B3D_00x10x01_KER2D_10x01
fft2D_2D_f_batch_1024_1024_512|4_4_A3D_10x00x01_B3D_00x10x01_KER2D_10x01
fft2D_2D_f_batch_4096_4096_32|4_16_A3D_10x00x01_B3D_00x10x01_KER2D_10x01
fft2D_2D_f_batch_4096_4096_32|16_8_A3D_10x00x01_B3D_00x10x01_KER2D_10x01
fft2D_2D_fb_batch_4096_4096_32|16_8_A3D_10x00x01_B3D_00x10x01_C3D_10x00x01_In_10x01_KER2D_10x01
fft2D_2D_fb_batch_1024_1024_512|2_8_A3D_00x10x01_B3D_10x00x01_C3D_00x10x01_In_01x10_KER2D_10x01
fft2D_2D_fb_batch_4096_4096_32|2_32_A3D_10x00x01_B3D_00x10x01_C3D_10x00x01_In_10x01_KER2D_10x01
fft2D_2D_f_batch_4096_4096_32|16_32_A3D_10x00x01_B3D_00x10x01_KER2D_10x01
fft2D_2D_fb_batch_4096_4096_32|4_8_A3D_10x00x01_B3D_00x10x01_C3D_10x00x01_In_01x00_KER2D_10x01
fft2D_2D_f_batch_4096_4096_32|8_32_A3D_00x10x01_B3D_10x00x01_KER2D_10x01
fft2D_2D_f_batch_4096_4096_32|4_8_A3D_00x10x01_B3D_10x00x01_KER2D_10x01
fft2D_2D_fb_batch_4096_4096_32|64_4_A3D_00x10x01_B3D_10x00x01_C3D_00x10x01_In_01x10_KER2D_10x01
fft2D_2D_fb_batch_4096_4096_32|32_16_A3D_10x00x01_B3D_00x10x01_C3D_10x00x01_In_10x00_KER2D_10x01
fft2D_2D_fb_batch_1024_1024_512|16_4_A3D_10x00x01_B3D_00x10x01_C3D_10x00x01_In_10x00_KER2D_10x01
fft2D_2D_fb_batch_4096_4096_32|4_4_A3D_10x00x01_B3D_00x10x01_C3D_10x00x01_In_10x00_KER2D_10x01
fft2D_2D_fb_batch_1024_1024_512|16_8_A3D_00x10x01_B3D_10x00x01_C3D_00x10x01_In_01x10_KER2D_10x01
fft2D_2D_f_batch_1024_1024_512|2_64_A3D_10x00x01_B3D_00x10x01_KER2D_10x01
fft2D_2D_f_batch_1024_1024_512|2_32_A3D_00x10x01_B3D_10x00x01_KER2D_10x01
fft2D_2D_f_batch_4096_4096_32|4_4_A3D_10x00x01_B3D_00x10x01_KER2D_10x01
